tag,method,path,operationId,auth,param_count,request_body,success_codes,summary,response_schemas
accounting-account,GET,/api-v2/accounting-account,AccountingAccountController_index,Yes,7,,200,,200=>application/json:object
accounting-account,GET,/api-v2/accounting-account/{id},AccountingAccountController_getById,Yes,1,,200,,200=>application/json:object
accounting-account,POST,/api-v2/accounting-account,AccountingAccountController_create,Yes,0,application/json:CreateAccountingAccount,201,,201=>application/json:object
accounting-account,PATCH,/api-v2/accounting-account/{id},AccountingAccountController_updateAccountingCode,Yes,1,application/json:UpdateAccountingAccount,200,,200=>application/json:object
accounting-code,GET,/api-v2/accounting-code,AccountingCodeController_index,Yes,7,,200,,200=>application/json:object
accounting-code,GET,/api-v2/accounting-code/{id},AccountingCodeController_getById,Yes,1,,200,,200=>application/json:object
accounting-code,POST,/api-v2/accounting-code,AccountingCodeController_create,Yes,0,application/json:CreateAccountingCode,201,,201=>application/json:object
accounting-code,PATCH,/api-v2/accounting-code/{id},AccountingCodeController_updateAccountingCode,Yes,1,application/json:UpdateAccountingCode,200,,200=>application/json:object
actions,GET,/api-v2/actions,ActionsController_index,Yes,7,,200,,200=>application/json:object
alert-templates,GET,/api-v2/alert-templates,AlertTemplateController_index,Yes,7,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/churn,AnalyticsController_getChurn,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/conference-amenity,AnalyticsController_getAmenityAnalytics,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/dashboard-event-calendar,AnalyticsController_getDashboardEventCalendar,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/discount-pie-chart,AnalyticsController_getDiscountPieChart,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/move-in-move-out-widget,AnalyticsController_getMoveInMoveOutWidget,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/move-in-out,AnalyticsController_getMoveInOutAnalytics,Yes,2,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/occupancy/breakdown,AnalyticsController_getOccupancyBreakdown,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/occupancy/general,AnalyticsController_getGenralOccupancyStatistics,Yes,2,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/occupancy/timeline,AnalyticsController_getOccupancyByType,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/overview-widget,AnalyticsController_getOverview,Yes,3,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/report-categories,AnalyticsController_getReportCategories,Yes,0,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/reports,AnalyticsController_getReports,Yes,0,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/reports/{id},AnalyticsController_getReportById,Yes,1,,200,,200=>application/json:object
analytics,GET,/api-v2/analytics/unit-types,AnalyticsController_getUnitTypes,Yes,0,,200,,200=>application/json:object
analytics,POST,/api-v2/analytics/report-categories,AnalyticsController_createReportCategory,Yes,0,application/json:CreateReportCategoryValidation,201,,201=>application/json:object
analytics,POST,/api-v2/analytics/send-email,AnalyticsController_create,Yes,0,application/json:SendReportInMail,201,,201=>application/json:object
analytics,PUT,/api-v2/analytics/report-categories/{id},AnalyticsController_updateReportCategory,Yes,1,application/json:CreateReportCategoryValidation,200,,200=>application/json:object
analytics,PUT,/api-v2/analytics/reports/{id},AnalyticsController_updateReport,Yes,1,application/json:UpdateReportValidation,200,,200=>application/json:object
analytics,DELETE,/api-v2/analytics/report-categories/{id},AnalyticsController_deleteReportCategory,Yes,1,,200,,200=>application/json:object
applications,GET,/api-v2/applications,ApplicationController_getAll,Yes,7,,200,,200=>application/json:ApplicationPaginator
applications,POST,/api-v2/applications,ApplicationController_create,Yes,0,application/json:CreateApplicationValidation,201,,201=>application/json:ApplicationDTO
applications,POST,/api-v2/applications/public,ApplicationController_publicCreate,No,0,application/json:PublicCreateApplicationValidation,201,,201=>application/json:object
applications,PATCH,/api-v2/applications/{id},ApplicationController_update,Yes,1,application/json:UpdateApplicationValidation,200,,200=>application/json:ApplicationDTO
applications,PATCH,/api-v2/applications/{id}/approve,ApplicationController_approve,Yes,1,,200,,200=>application/json:object
applications,PATCH,/api-v2/applications/{id}/reject,ApplicationController_reject,Yes,1,application/json:RejectApplicationValidation,200,,200=>application/json:object
auth,GET,/api-v2/auth/me,AuthController_me,Yes,0,,200,,200=>application/json:UserDTOWithoutToken
auth,POST,/api-v2/auth/check-token,AuthController_checkToken,No,0,application/json:CheckUserToken,201,,201=>application/json:UserDTO
auth,POST,/api-v2/auth/impersonate,AuthController_loginAsMember,No,0,application/json:LoginAsMemberValidation,201,,201=>application/json:object
auth,POST,/api-v2/auth/login,AuthController_userLogin,No,0,application/json:LoginUser,201,,201=>application/json:object
bills,GET,/api-v2/bills/approval-logs,BillsController_getApprovalLogsByInvoiceId,Yes,1,,200,,200=>application/json:object
bills,POST,/api-v2/bills/approve,BillsController_approveBillByReviewer,Yes,0,application/json:ApproveBill,201,,201=>application/json:object
bills,PUT,/api-v2/bills/revoke,BillsController_revokeBillByReviewer,Yes,0,application/json:ApproveBill,200,,200=>application/json:object
budgets,GET,/api-v2/budgets,BudgetController_getAll,Yes,7,,200,,200=>application/json:array<BudgetDTO>
budgets,GET,/api-v2/budgets/values,BudgetController_getBudgetValues,Yes,7,,200,,200=>application/json:array<BudgetValueDTO>
budgets,POST,/api-v2/budgets,BudgetController_create,Yes,0,application/json:CreateBudget,201,,201=>application/json:BudgetDTO
budgets,POST,/api-v2/budgets/values,BudgetController_createBudgetValue,Yes,0,application/json:CreateBudgetValueValidation,201,,201=>application/json:BudgetValueDTO
budgets,POST,/api-v2/budgets/values/template,BudgetController_getTemplate,Yes,0,application/json:GetBudgetTemplateValidation,201,,201=>application/json:object
budgets,POST,/api-v2/budgets/values/{id}/import,BudgetController_import,Yes,1,,201,,201=>application/json:object
budgets,PATCH,/api-v2/budgets/values/{id},BudgetController_UpdateBudgetValueValue,Yes,1,application/json:UpdateBudgetValueValue,200,,200=>application/json:BudgetValueDTO
budgets,DELETE,/api-v2/budgets/values/{id},BudgetController_removeBudgetValue,Yes,1,,200,,
cams,GET,/api-v2/cams,CamsController_getAll,Yes,7,,200,,200=>application/json:object
cams,GET,/api-v2/cams/cams-expenses-lines/{id},CamsController_getCamsWithExpensesLines,Yes,1,,200,,200=>application/json:object
cams,GET,/api-v2/cams/get-cam-invoices/{id},CamsController_getCamInvoices,Yes,1,,200,,200=>application/json:object
cams,GET,/api-v2/cams/get-invoices-members-simulation/{id},CamsController_getInvoicesMembersSimulation,Yes,1,,200,,200=>application/json:object
cams,GET,/api-v2/cams/initiating-invoice-members/{id},CamsController_initiatingInvoiceMembers,Yes,1,,200,,200=>application/json:object
cams,GET,/api-v2/cams/outstanding-cams-report,CamsController_getOutstandingCamsReport,Yes,3,,200,,
cams,POST,/api-v2/cams,CamsController_createCam,Yes,0,application/json:CreateCAM,201,,201=>application/json:object
cams,PATCH,/api-v2/cams/{id},CamsController_update,Yes,1,application/json:UpdateCAM,200,,200=>application/json:object
chats,GET,/api-v2/chats,ChatController_getChatConversations,Yes,0,,200,,200=>application/json:object
chats,GET,/api-v2/chats/chat-notification-user-email,ChatController_getChatNotificationEmails,Yes,0,,200,,200=>application/json:object
chats,GET,/api-v2/chats/tenants/{id},ChatController_getConversationByTenantId,Yes,1,,200,,200=>application/json:object
chats,GET,/api-v2/chats/{id},ChatController_getConversation,Yes,1,,200,,200=>application/json:object
chats,POST,/api-v2/chats,ChatController_sendMessage,Yes,0,application/json:CreateChatMessageValidation,201,,201=>application/json:object
chats,POST,/api-v2/chats/chat-notification-user-email,ChatController_storeChatNotificationUserEmails,Yes,0,application/json:ChatNotificationUserEmailValidation,201,,201=>application/json:object
checks,GET,/api-v2/checks,CheckController_index,Yes,7,,200,,200=>application/json:object
checks,GET,/api-v2/checks/{id},CheckController_getById,Yes,2,,200,,200=>application/json:object
checks,POST,/api-v2/checks,CheckController_create,Yes,0,application/json:CreateCheck,201,,201=>application/json:object
